#Release 12.3 - par M.70d (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Feb 23 14:38:17 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Super_PWM_map.ncd
#OUTPUT FILE:      Super_PWM_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -4
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,TMS,,,,,,,,,,,,
P2,,,TDI,,,,,,,,,,,,
P3,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
P4,Port5<0>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P5,Port4<0>,IOB,IO_L02N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,Port5<1>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P7,Port4<1>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P8,Port5<2>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P9,,,GND,,,,,,,,,,,,
P10,Port4<2>,IOB,IO_L04P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P11,Port5<3>,IOB,IO_L04N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P12,Port4<3>,IOB,IO_L05P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P13,,DIFFSLR,IO_L05N_3/LHCLK1,UNUSED,,3,,,,,,,,,
P14,,,VCCO_3,,,3,,,,,2.50,,,,
P15,,DIFFMLR,IO_L06P_3/LHCLK2,UNUSED,,3,,,,,,,,,
P16,,DIFFSLR,IO_L06N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
P17,,,GND,,,,,,,,,,,,
P18,,DIFFMLR,IO_L07P_3/LHCLK4,UNUSED,,3,,,,,,,,,
P19,,DIFFMLR,IO_L08P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
P20,Port5<4>,IOB,IO_L07N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P21,Port4<4>,IOB,IO_L08N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P22,,,VCCINT,,,,,,,,1.2,,,,
P23,,,VCCO_3,,,3,,,,,2.50,,,,
P24,Port5<5>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P25,Port4<5>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P26,,,GND,,,,,,,,,,,,
P27,Port5<6>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P28,Port4<6>,IOB,IO_L11P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P29,Port5<7>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P30,Port4<7>,IOB,IO_L11N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P31,,DIFFMLR,IO_L12P_3,UNUSED,,3,,,,,,,,,
P32,,DIFFSLR,IO_L12N_3,UNUSED,,3,,,,,,,,,
P33,,DIFFMI_NDT,IP_L13P_3,UNUSED,,3,,,,,,,,,
P34,,,GND,,,,,,,,,,,,
P35,,DIFFSI_NDT,IP_L13N_3/VREF_3,UNUSED,,3,,,,,,,,,
P36,,,VCCAUX,,,,,,,,3.3,,,,
P37,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
P38,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
P39,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
P40,,,VCCO_2,,,2,,,,,2.50,,,,
P41,Port6<0>,IOB,IO_L02N_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P42,Port7<0>,IOB,IO_L03P_2/RDWR_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P43,Port6<1>,IOB,IO_L04P_2/VS2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P44,Port7<1>,IOB,IO_L03N_2/VS1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P45,Port6<2>,IOB,IO_L04N_2/VS0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P46,Port7<2>,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P47,Port6<3>,IOB,IO_L06P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P48,Port7<3>,IOB,IO_L05N_2/D7,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P49,,DIFFSTB,IO_L06N_2/D6,UNUSED,,2,,,,,,,,,
P50,,DIFFMTB,IO_L07P_2/D5,UNUSED,,2,,,,,,,,,
P51,,DIFFSTB,IO_L07N_2/D4,UNUSED,,2,,,,,,,,,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P54,,DIFFMTB,IO_L08P_2/GCLK14,UNUSED,,2,,,,,,,,,
P55,Port6<4>,IOB,IO_L08N_2/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P56,,,GND,,,,,,,,,,,,
P57,Clk,IBUF,IO_L09P_2/GCLK0,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P58,Port7<4>,IOB,IO_L10P_2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P59,Port6<5>,IOB,IO_L09N_2/GCLK1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P60,Port7<5>,IOB,IO_L10N_2/GCLK3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P61,,,VCCO_2,,,2,,,,,2.50,,,,
P62,Port6<6>,IOB,IO_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P63,Port7<6>,IOB,IO_L11P_2/AWAKE,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P64,Port6<7>,IOB,IO_L11N_2/DOUT,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P65,,,GND,,,,,,,,,,,,
P66,,,VCCAUX,,,,,,,,3.3,,,,
P67,Port7<7>,IOB,IO_L12P_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P68,CS,IBUF,IO_L12N_2/D3,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P69,,DIFFMTB,IO_L13P_2/D2,UNUSED,,2,,,,,,,,,
P70,,DIFFMTB,IO_L14P_2/D1,UNUSED,,2,,,,,,,,,
P71,,DIFFSTB,IO_L13N_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
P72,,DIFFSTB,IO_L14N_2/CCLK,UNUSED,,2,,,,,,,,,
P73,,,DONE,,,,,,,,,,,,
P74,,,SUSPEND,,,,,,,,,,,,
P75,,DIFFMLR,IO_L02P_1/LDC1,UNUSED,,1,,,,,,,,,
P76,Port0<0>,IOB,IO_L01P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P77,Port1<0>,IOB,IO_L02N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P78,,DIFFSLR,IO_L01N_1/LDC2,UNUSED,,1,,,,,,,,,
P79,,DIFFMLR,IO_1,UNUSED,,1,,,,,,,,,
P80,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P81,,,GND,,,,,,,,,,,,
P82,Port0<1>,IOB,IO_L03P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P83,Port1<1>,IOB,IO_L04P_1/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P84,,DIFFSLR,IO_L03N_1,UNUSED,,1,,,,,,,,,
P85,Port0<2>,IOB,IO_L04N_1/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P86,,,VCCO_1,,,1,,,,,2.50,,,,
P87,Port1<2>,IOB,IO_L05P_1/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P88,,DIFFSLR,IO_L05N_1/TRDY1/RHCLK3,UNUSED,,1,,,,,,,,,
P89,,,GND,,,,,,,,,,,,
